"Treatment","Gene","p_value","mean_R","mean_NR","FDR","Direction"
"chemo+targeted","CD38",9.07740613490336e-15,8.62672008928571,7.69385141304348,4.19376163432535e-12,"Up in R"
"chemo+targeted","ESR1",2.87210450653087e-13,6.47889508928571,7.30278826086957,6.6345614100863e-11,"Up in NR"
"chemo+targeted","IL21R",5.73392315367396e-13,9.10214330357143,8.44097086956522,8.39454794891105e-11,"Up in R"
"chemo+targeted","THSD4",7.26800688217407e-13,6.71146383928571,7.46892358695652,8.39454794891105e-11,"Up in NR"
"chemo+targeted","SLC39A6",1.1641375784217e-12,8.542671875,9.38278076086957,1.07566312246165e-10,"Up in NR"
"chemo+targeted","GZMB",1.68391897836163e-12,10.2170861607143,9.32728108695652,1.29661761333845e-10,"Up in R"
"chemo+targeted","GBP5",2.31421580974039e-12,11.5680022321429,10.6239544565217,1.32867551207954e-10,"Up in R"
"chemo+targeted","CCDC74B",2.45473641631716e-12,8.231734375,9.11538293478261,1.32867551207954e-10,"Up in NR"
"chemo+targeted","FAM134B",2.58832891963547e-12,7.95164598214286,8.6555802173913,1.32867551207954e-10,"Up in NR"
"chemo+targeted","SCUBE2",4.32048651001246e-12,7.26623214285714,8.46295304347826,1.88460656997347e-10,"Up in NR"
"chemo+targeted","AIM2",4.48715849993684e-12,8.23493794642857,7.55359380434783,1.88460656997347e-10,"Up in R"
"chemo+targeted","CXCL13",6.8513908481657e-12,9.58285892857143,8.575685,2.63778547654379e-10,"Up in R"
"chemo+targeted","GBP1",1.22681023505051e-11,9.58148348214286,8.90642847826087,4.35989483533335e-10,"Up in R"
"chemo+targeted","KRT86",1.54488453060638e-11,10.202575,9.35159260869565,4.78195464266421e-10,"Up in R"
"chemo+targeted","IDO1",1.59162512277418e-11,10.4365428571429,9.43352684782609,4.78195464266421e-10,"Up in R"
"chemo+targeted","AGR3",1.65608818793566e-11,6.97324285714286,8.48088380434783,4.78195464266421e-10,"Up in NR"
"chemo+targeted","SYBU",2.30491574242698e-11,7.59405267857143,8.24691326086957,6.26394748824273e-10,"Up in NR"
"chemo+targeted","RARRES1",3.30978314855364e-11,9.92044553571429,9.03481913043478,8.49511008128768e-10,"Up in R"
"chemo+targeted","FAM26F",3.64941158449181e-11,11.2812375,10.60504,8.8738323791327e-10,"Up in R"
"chemo+targeted","LRRC56",4.34884848822321e-11,8.54454866071429,9.13586717391304,1.00458400077956e-09,"Up in NR"
"chemo+targeted","LAMP3",5.76042624048406e-11,10.4286330357143,9.5948472826087,1.26729377290649e-09,"Up in R"
"chemo+targeted","CXCL9",8.49599801709486e-11,12.7618330275229,11.6747559471366,1.78415958358992e-09,"Up in R"
"chemo+targeted","CCL13",1.16316614908838e-10,8.38552946428571,7.57982260869565,2.33644678642969e-09,"Up in R"
"chemo+targeted","CXCL10",2.1380255884136e-10,9.87806785714286,9.11320467391304,4.11569925769617e-09,"Up in R"
"chemo+targeted","CA12",2.33247161130991e-10,8.035553125,9.05438663043478,4.31040753770071e-09,"Up in NR"
"chemo+targeted","PDCD1",2.81544518279113e-10,9.15081205357143,8.5660475,5.00282951711347e-09,"Up in R"
"chemo+targeted","PARD6B",3.25883692149552e-10,8.55979955357143,9.25702293478261,5.57623206567011e-09,"Up in NR"
"chemo+targeted","GATA3",4.27979022634041e-10,9.24731026785714,10.2585077173913,7.06165387346168e-09,"Up in NR"
"chemo+targeted","NAT1",4.76158161079828e-10,8.60794241071429,9.65998739130435,7.58569208340968e-09,"Up in NR"
"chemo+targeted","LONRF2",6.14895774706596e-10,6.65044642857143,7.36553260869565,9.46939493048158e-09,"Up in NR"
"chemo+targeted","CCL5",6.80808375917601e-10,10.2580111607143,9.5281875,1.01462409572236e-08,"Up in R"
"chemo+targeted","FAM196A",1.85891637887719e-09,5.72229910714286,6.35969565217391,2.68381052200395e-08,"Up in NR"
"chemo+targeted","ZMYND10",1.97333244220989e-09,6.68682232142857,7.28510445652174,2.76266541909385e-08,"Up in NR"
"chemo+targeted","FAM47E",3.47915751927148e-09,6.52014910714286,7.01033899782135,4.72756109971595e-08,"Up in NR"
"chemo+targeted","CLSTN2",4.68062932543418e-09,6.8037,7.61686847826087,6.17843070957312e-08,"Up in NR"
"chemo+targeted","UBD",5.69902069877474e-09,13.1879540909091,12.1145635555556,7.31374323009425e-08,"Up in R"
"chemo+targeted","CD274",6.56628422066311e-09,7.04917767857143,6.73342097826087,8.19898191877393e-08,"Up in R"
"chemo+targeted","PGR",1.16225600039677e-08,5.85941383928571,6.45739967391304,1.41305861100871e-07,"Up in NR"
"chemo+targeted","DNALI1",1.48470908247557e-08,6.99045625,7.76801086956522,1.75880922077875e-07,"Up in NR"
"chemo+targeted","GNLY",1.67198033585969e-08,8.01035580357143,7.46519358695652,1.88854321984151e-07,"Up in R"
"chemo+targeted","COX6C",1.67597991371216e-08,14.2874821428571,14.8609597826087,1.88854321984151e-07,"Up in NR"
"chemo+targeted","FSIP1",1.82458167326874e-08,6.34944732142857,7.17334847826087,2.00703984059561e-07,"Up in NR"
"chemo+targeted","CD8A",3.01344331307013e-08,9.01262321428571,8.5766402173913,3.22122778520135e-07,"Up in R"
"chemo+targeted","RSPH1",3.06783598590605e-08,7.94826696428571,8.54389901960784,3.22122778520135e-07,"Up in NR"
