"Treatment","Gene","p_value","mean_R","mean_NR","FDR","Direction"
"chemo+targeted","RIMS4",3.3184310814127e-08,6.59185178571429,7.39465608695652,3.40692257691704e-07,"Up in NR"
"chemo+targeted","GAMT",5.40115782183809e-08,8.72704151785714,9.28177695652174,5.42464111671564e-07,"Up in NR"
"chemo+targeted","NLRP7",6.1608023559519e-08,6.54734508928571,6.07334532608696,6.05593763499953e-07,"Up in R"
"chemo+targeted","WNT6",9.8348740606262e-08,10.2735455357143,9.68714902173913,9.46606628335271e-07,"Up in R"
"chemo+targeted","IFNG",1.03030455209502e-07,6.569675,6.1456422826087,9.5308836592606e-07,"Up in R"
"chemo+targeted","CXCL1",1.03148091550439e-07,8.06914375,7.58839380434783,9.5308836592606e-07,"Up in R"
"chemo+targeted","DACH1",1.23313704397918e-07,7.51901741071429,8.34128163043478,1.11707708689878e-06,"Up in NR"
"IO+chemo","LMO4",2.03636988113034e-07,10.4872548387097,9.20375263157895,1.80723561528474e-06,"Up in R"
"chemo+targeted","AGR2",2.07323566255609e-07,8.97552767857143,10.2041445652174,1.80723561528474e-06,"Up in NR"
"chemo+targeted","PPP1R14C",2.24511682686095e-07,7.79235178571429,7.1130952173913,1.92082217409215e-06,"Up in R"
"chemo+targeted","ADIRF",2.55299475900295e-07,12.1136584821429,12.8791159041394,2.14451559756247e-06,"Up in NR"
"chemo+targeted","CCL17",3.67964467635994e-07,8.35063080357143,7.85421336956522,3.03570685799695e-06,"Up in R"
"chemo+targeted","KIF5C",3.85961381265315e-07,7.53457946428571,8.06586804347826,3.12831856393992e-06,"Up in NR"
"chemo+targeted","TCL1A",4.17258636124309e-07,9.22366339285714,8.62218630434783,3.3236808601626e-06,"Up in R"
"chemo+targeted","PDZK1",4.69343784514762e-07,6.38844732142857,7.15579119565217,3.67520048213255e-06,"Up in NR"
"chemo+targeted","TSPAN1",5.19252385728888e-07,8.46893616071429,9.19876141304348,3.99824337011244e-06,"Up in NR"
"chemo+targeted","FOXA1",5.65116360482305e-07,9.24974464285714,10.2148018478261,4.28006161545615e-06,"Up in NR"
"chemo+targeted","TBC1D9",5.88546799044161e-07,9.46331607142857,10.1421467391304,4.38562292190971e-06,"Up in NR"
"IO+chemo","CA12",6.04081895438119e-07,7.17038064516129,9.64870263157895,4.42993389987954e-06,"Up in NR"
"chemo+targeted","RGS22",7.64483879558679e-07,6.14704017857143,6.65470434782609,5.50313736950954e-06,"Up in NR"
"chemo+targeted","STARD10",7.74250928610649e-07,10.3657772321429,10.93847,5.50313736950954e-06,"Up in NR"
"chemo+targeted","ANXA9",9.10771274642934e-07,6.80577276785714,7.50377391304348,6.37539892250054e-06,"Up in NR"
"IO+chemo","RGS22",9.69272170147575e-07,5.58168709677419,6.91809736842105,6.68363794937582e-06,"Up in NR"
"IO+chemo","CCDC74B",1.01675343330472e-06,8.30845161290322,10.0249131578947,6.90794244392323e-06,"Up in NR"
"chemo+targeted","TFF1",1.41125097015386e-06,10.0063450892857,11.4609006521739,9.4492456262476e-06,"Up in NR"
"chemo+targeted","NPNT",1.57274857734931e-06,9.48395535714286,10.1218667391304,1.03801406105055e-05,"Up in NR"
"IO+chemo","GPRC5C",1.67406821616673e-06,7.63502580645161,8.64050263157895,1.08932326178736e-05,"Up in NR"
"targeted","ERBB2",1.78299951685279e-06,11.39155,10.1047636363636,1.14409135664721e-05,"Up in R"
"IO+chemo","SLC7A2",1.81092483590819e-06,6.40792258064516,8.46010789473684,1.14609215642409e-05,"Up in NR"
"chemo+targeted","PRF1",2.15335870638233e-06,6.45736964285714,6.19823695652174,1.34439421939005e-05,"Up in R"
"chemo+targeted","MEX3A",2.30503398939035e-06,10.8941415178571,10.3817236956522,1.41990093746445e-05,"Up in R"
"chemo+targeted","PROM1",2.36421902506478e-06,8.04388526785714,7.35708760869565,1.42573028511099e-05,"Up in R"
"chemo+targeted","CDH3",2.37621714185165e-06,10.3838388392857,9.75584608695652,1.42573028511099e-05,"Up in R"
"chemo+targeted","NAT2",2.48443770745719e-06,6.01504732142857,6.43707293478261,1.47155156518618e-05,"Up in NR"
"chemo+targeted","PLA2G10",2.5583573922551e-06,6.28430580357143,6.74824010869565,1.49615331040742e-05,"Up in NR"
"chemo+targeted","SLC7A2",2.84973924361516e-06,7.44311473214286,8.11836793478261,1.64572441318775e-05,"Up in NR"
"chemo+targeted","TPRG1",3.15695627329743e-06,6.25165758928571,6.86759858695652,1.80063431884372e-05,"Up in NR"
"chemo+targeted","GPRC5A",3.21760308903788e-06,7.23336294642857,7.61386380434783,1.81264176766963e-05,"Up in NR"
"chemo+targeted","VGLL1",3.256477634558e-06,8.08748214285714,7.36533119565217,1.81264176766963e-05,"Up in R"
"chemo+targeted","DYNLRB2",3.45421438828888e-06,7.1681875,7.67871586956522,1.89981791355888e-05,"Up in NR"
"IO+chemo","LAMP3",3.88782410288653e-06,10.5342806451613,8.87121315789474,2.08149123191871e-05,"Up in R"
"IO+chemo","DHRS2",3.88782410288653e-06,7.5955935483871,9.60041315789474,2.08149123191871e-05,"Up in NR"
"chemo+targeted","MLPH",3.91969128088588e-06,7.68736071428571,8.28646076086956,2.08149123191871e-05,"Up in NR"
"chemo+targeted","MARCO",4.4317864481771e-06,9.90277321428571,9.15968597826087,2.32668788529298e-05,"Up in R"
"chemo+targeted","PHGDH",4.7719886077855e-06,11.5368638392857,11.019752826087,2.47714464808641e-05,"Up in R"
"IO+chemo","CHODL",5.44235957504167e-06,8.06835161290322,6.6344447368421,2.79374458185472e-05,"Up in R"
"IO+chemo","THSD4",6.63828467875748e-06,6.12772903225806,7.39891578947368,3.37020606767687e-05,"Up in NR"
"chemo+targeted","MATN3",8.09624515999811e-06,7.00012276785714,7.41135206521739,4.06572311295557e-05,"Up in NR"
"chemo+targeted","STMND1",9.15462976801282e-06,6.69200401785714,7.36132934782609,4.54778382023863e-05,"Up in NR"
"chemo+targeted","CHODL",9.28699067817776e-06,7.58626607142857,7.17831554347826,4.5644571205512e-05,"Up in R"
"chemo+targeted","TNNT1",1.02130751003628e-05,9.17002780269058,9.97154576086957,4.96677968038694e-05,"Up in NR"
"IO+chemo","KRT86",1.11472710037407e-05,9.75916451612903,8.39960526315789,5.36462417055022e-05,"Up in R"
"chemo+targeted","HIST1H1A",1.13753746851051e-05,7.96801607142857,7.44910652173913,5.41796196342118e-05,"Up in R"
"IO+chemo","GBP1",1.15944133399888e-05,9.66693225806452,8.64721578947368,5.46593771742328e-05,"Up in R"
"chemo+targeted","EEF1A2",1.3986159837168e-05,7.39288571428571,8.11714826086956,6.52687459067839e-05,"Up in NR"
"IO+chemo","MATN3",1.44556138911066e-05,6.48236451612903,7.64365263157895,6.67849361769125e-05,"Up in NR"
"IO+chemo","SCUBE2",1.95923162027745e-05,6.85436451612903,8.88667894736842,8.96202978780378e-05,"Up in NR"
"chemo+targeted","TFF3",2.80642676017581e-05,9.37694107142857,10.354452826087,0.000127114623843257,"Up in NR"
"targeted","GRB7",3.16683606757539e-05,12.6118666666667,10.6660090909091,0.000139505386892702,"Up in R"
"IO+chemo","CCL13",3.18156025548384e-05,8.95037096774194,7.19442368421053,0.000139505386892702,"Up in R"
"IO+chemo","IL21R",3.18156025548384e-05,8.96146451612903,7.89512105263158,0.000139505386892702,"Up in R"
"chemo+targeted","KCNE4",3.20077294602304e-05,7.97893139013453,8.57899358695652,0.000139505386892702,"Up in NR"
"IO+chemo","PM20D2",3.5830627179546e-05,9.00752580645161,7.74328421052632,0.000154707941653741,"Up in R"
"IO+chemo","GDF15",3.69527153065236e-05,9.07325161290323,10.7692342105263,0.000158075504366795,"Up in NR"
"targeted","PNMT",4.25126672855007e-05,11.85977,8.48065909090909,0.000179543651426447,"Up in R"
"IO+chemo","GBP5",4.27484884348683e-05,11.6915258064516,10.2101736842105,0.000179543651426447,"Up in R"
"IO+chemo","LRRC56",4.32261770244262e-05,8.12747741935484,9.29315789473684,0.00017991435842599,"Up in NR"
"chemo+targeted","CD8B",4.6622813832883e-05,7.92581383928571,7.62894597826087,0.000192319107060642,"Up in R"
"IO+chemo","CHST8",4.80322460262645e-05,7.3779935483871,8.6470552631579,0.00019637962534632,"Up in NR"
"chemo+targeted","IGDCC3",4.94234985713673e-05,6.60210625,7.08945739130435,0.000200295231052383,"Up in NR"
"IO+chemo","ACOX2",5.31544221445229e-05,7.66558387096774,9.84073421052632,0.000212914736366838,"Up in NR"
"IO+chemo","PRR15",5.39199657032902e-05,7.03953548387097,8.33077368421053,0.000212914736366838,"Up in NR"
"IO+chemo","IDO1",5.39199657032902e-05,11.1938580645161,9.48835263157895,0.000212914736366838,"Up in R"
"IO+chemo","KIF5C",6.04747275984761e-05,7.37005483870968,8.72761842105263,0.000236773933478779,"Up in NR"
"IO+chemo","CRABP1",6.40235656799991e-05,9.69570322580645,7.40008421052632,0.000248562078522349,"Up in R"
"IO+chemo","CXCL10",6.77655245423194e-05,10.5551290322581,9.35579210526316,0.00026089726948793,"Up in R"
"chemo+targeted","CHI3L2",6.90368770695557e-05,8.180953125,7.62092054347826,0.000263595348811031,"Up in R"
"IO+chemo","EEF1A2",7.17102313349966e-05,6.0093935483871,7.81248421052632,0.000271558417022692,"Up in NR"
"targeted","MNX1",7.34201813541904e-05,9.35867666666667,7.30670909090909,0.000275773364110862,"Up in R"
"chemo+targeted","PM20D2",7.462838238929e-05,8.64783258928571,8.19946989130435,0.000278050908579452,"Up in R"
"IO+chemo","KCNE4",7.78928115703224e-05,7.65951935483871,8.93153157894737,0.000287891831563912,"Up in NR"
"IO+chemo","ROPN1",8.02485726976058e-05,9.87464193548387,7.1636052631579,0.000294244766557888,"Up in R"
"chemo+targeted","ARL9",8.18331890456179e-05,8.79167633928571,8.34816478260869,0.000297692388496657,"Up in R"
"IO+chemo","ZMYND10",8.48636880439841e-05,6.25870322580645,7.48076842105263,0.000306304874033755,"Up in NR"
"IO+chemo","GAMT",8.97245482883332e-05,8.06801935483871,9.30748684210526,0.000321339079916356,"Up in NR"
"IO+chemo","LRFN2",9.05534106113148e-05,5.9087,7.17404210526316,0.000321812890018673,"Up in NR"
"chemo+targeted","FBXL16",9.36043166577848e-05,8.85480758928571,9.34664913043478,0.000330115986991577,"Up in NR"
"IO+chemo","GZMB",9.51890436991648e-05,10.6622516129032,9.17745,0.000333161652947077,"Up in R"
"IO+chemo","TNNT1",9.75900378502665e-05,8.02166774193548,9.9686552631579,0.000338996973585136,"Up in NR"
"IO+chemo","CXCL13",0.000100231864693476,9.93471935483871,8.29497631578947,0.000345575533495416,"Up in R"
"targeted","STARD3",0.000104929181850421,11.3651833333333,10.1067545454545,0.000359090977888108,"Up in R"
"IO+chemo","NQO1",0.00010590382530716,6.84862580645161,7.87282894736842,0.000359761524205207,"Up in NR"
"IO+chemo","RSPH1",0.000111872579779032,7.42878709677419,8.69693684210526,0.00037183548099218,"Up in NR"
"IO+chemo","DYNLRB2",0.000111872579779032,6.6109,8.15879736842105,0.00037183548099218,"Up in NR"
"IO+chemo","SYCE3",0.000111872579779032,7.74170322580645,9.03644473684211,0.00037183548099218,"Up in NR"
"chemo+targeted","TPSAB1",0.00011727226203028,7.35176696428571,7.78947847826087,0.000386998464699923,"Up in NR"
"IO+chemo","MLPH",0.000118152295446327,7.19243870967742,8.67385263157895,0.000387049279235741,"Up in NR"
"IO+chemo","FAM47E",0.000118963198379816,6.06575161290323,7.11873684210526,0.000387049279235741,"Up in NR"
"IO+chemo","ADIRF",0.000121925886768402,11.1944548387097,12.6462184210526,0.000393914403405605,"Up in NR"
"IO+chemo","LONRF2",0.000131704322927913,6.29378387096774,7.61773684210526,0.000419637222018592,"Up in NR"
"IO+chemo","CLSTN2",0.000131704322927913,6.46837741935484,8.20187368421053,0.000419637222018592,"Up in NR"
"IO+chemo","AMIGO2",0.000134486576995805,7.62228387096774,8.72963157894737,0.000425567113507273,"Up in NR"
"IO+chemo","SDR16C5",0.000139008080087482,6.30315806451613,7.43968421052632,0.0004368825374178,"Up in NR"
"IO+chemo","GNLY",0.000146685735549686,8.09663548387097,7.02570263157895,0.00045789736367537,"Up in R"
"IO+chemo","PLA2G10",0.000151904283450945,5.53895483870968,6.66093947368421,0.000471005227881455,"Up in NR"
"IO+chemo","AGR3",0.000155633552208553,6.01857419354839,8.68851052631579,0.000479351340802344,"Up in NR"
"IO+chemo","CHI3L2",0.00016335207585372,9.45175806451613,7.46179210526316,0.000499792444002772,"Up in R"
"chemo+targeted","CHI3L1",0.00017130768080833,9.35038526785714,8.8804602173913,0.000517650520183297,"Up in R"
"IO+chemo","TFF3",0.00017142971772304,8.16454838709677,10.5149684210526,0.000517650520183297,"Up in NR"
"IO+chemo","PROM1",0.000181494670741964,8.19676451612903,6.56800263157895,0.000544484012225891,"Up in R"
"IO+chemo","AGR2",0.000201630895805198,7.51277096774194,10.7348315789474,0.000597137652961549,"Up in NR"
"IO+chemo","ESR1",0.000201630895805198,6.19073870967742,7.44249736842105,0.000597137652961549,"Up in NR"
"IO+chemo","AIM2",0.000223815619728648,8.85199032258065,7.67911052631579,0.000658616664424429,"Up in R"
"chemo+targeted","LMO4",0.000225417340267474,9.87305535714286,9.56898,0.00065913171647831,"Up in R"
"IO+chemo","ANXA9",0.000228317290629522,6.14589032258065,7.84801842105263,0.000663412504848044,"Up in NR"
"IO+chemo","ELF5",0.000233816267165263,8.40124838709677,6.60230263157895,0.000672279412007393,"Up in R"
"IO+chemo","TPSAB1",0.00023573433927532,6.89015806451613,8.26508157894737,0.000672279412007393,"Up in NR"
"IO+chemo","GPRC5A",0.00023573433927532,6.69028064516129,7.72487368421053,0.000672279412007393,"Up in NR"
"IO+chemo","FSIP1",0.000248236846372181,5.84589032258065,7.73867894736842,0.000703591552294157,"Up in NR"
"chemo+targeted","PRR15",0.000254839968770425,7.87010491071429,8.26214163043478,0.000717902838853272,"Up in NR"
"chemo+targeted","CPA3",0.000256896070550436,7.86620446428571,8.26992695652174,0.000719308997541221,"Up in NR"
"IO+chemo","CD38",0.000261349018851001,8.6773,7.36471578947368,0.000723013453348278,"Up in R"
"IO+chemo","PLAT",0.000261349018851001,9.99423548387097,11.2787684210526,0.000723013453348278,"Up in NR"
"chemo+targeted","KCNK5",0.000263160275781494,9.49176830357143,9.072355,0.000723690758399109,"Up in R"
"IO+chemo","CHI3L1",0.000275097746250207,9.5622064516129,8.00791842105263,0.000747618580985855,"Up in R"
"IO+chemo","CHRM1",0.000275097746250207,7.30455806451613,6.08475263157895,0.000747618580985855,"Up in R"
"chemo+targeted","TMEM121",0.000286229768512228,11.3622924107143,11.6992965217391,0.000773322532471633,"Up in NR"
"chemo+targeted","RET",0.000291764016035693,7.07280848214286,7.485905,0.000783691717491222,"Up in NR"
"IO+chemo","DNALI1",0.000304617681985109,6.49053870967742,8.09372368421053,0.000804190680440688,"Up in NR"
"IO+chemo","STARD10",0.000304617681985109,9.71438709677419,10.9377710526316,0.000804190680440688,"Up in NR"
"IO+chemo","NLRP7",0.000304617681985109,6.5051,5.47973421052632,0.000804190680440688,"Up in R"
"IO+chemo","CAPN13",0.000332091574920138,6.40920967741935,7.64221315789474,0.000869884793227877,"Up in NR"
"chemo+targeted","GSTA5",0.000333917951804942,6.75031383928571,6.26303380434783,0.000869884793227877,"Up in R"
"IO+chemo","SYBU",0.000337033285687857,7.02330322580645,8.05955,0.000869884793227877,"Up in NR"
"IO+chemo","TCL1A",0.000337033285687857,9.61498064516129,8.33154210526316,0.000869884793227877,"Up in R"
"IO+chemo","GPRIN2",0.00035440590977265,8.62485483870968,7.30615,0.000909641835083134,"Up in R"
"chemo+targeted","PLAT",0.000363875216561322,10.3250950892857,10.741157826087,0.000928786464371992,"Up in NR"
"IO+chemo","TMEM121",0.000372599589452315,10.7881225806452,11.8226236842105,0.000945829727071261,"Up in NR"
"IO+chemo","TFF1",0.000391649273035011,8.92651935483871,12.0959921052632,0.000983380239903126,"Up in NR"
"IO+chemo","PGR",0.000391649273035011,5.29347419354839,6.28299736842105,0.000983380239903126,"Up in NR"
"IO+chemo","GABBR2",0.000399166944758816,6.63382580645161,5.38740263157895,0.00099683853231661,"Up in R"
"chemo+targeted","SOX10",0.00040541257185876,7.11354241071429,6.7575497826087,0.00100699251719756,"Up in R"
"IO+chemo","ASPN",0.000411591210052032,8.61251612903226,9.94076578947368,0.00101687240130502,"Up in NR"
"IO+chemo","FAM196A",0.000447306470600829,5.21683225806452,6.42419736842105,0.00109923185860416,"Up in NR"
"IO+chemo","LIN7A",0.000477153399876868,5.93577096774194,7.04744736842105,0.00116213455763523,"Up in NR"
"chemo+targeted","GABRP",0.000477934125434402,9.085996875,8.37738673913043,0.00116213455763523,"Up in R"
"chemo+targeted","GDF15",0.000485312947002014,10.4037322869955,10.9031784782609,0.0011738983325389,"Up in NR"
"IO+chemo","FOXA1",0.000523853799157755,7.75480322580645,10.4216684210526,0.00123997411654018,"Up in NR"
"IO+chemo","RIMS4",0.000523853799157755,6.06863225806452,7.51222368421053,0.00123997411654018,"Up in NR"
"IO+chemo","NPNT",0.000526049625198862,8.69245483870968,10.1588026315789,0.00123997411654018,"Up in NR"
"IO+chemo","CPA3",0.000526049625198862,7.67368064516129,9.10056842105263,0.00123997411654018,"Up in NR"
"IO+chemo","ROPN1B",0.000526049625198862,8.9740935483871,6.88108157894737,0.00123997411654018,"Up in R"
"chemo+targeted","STARD3",0.000535548783824353,9.89060267857143,9.43100184782609,0.00125440586311273,"Up in R"
"chemo+targeted","FOXC1",0.000537602512762598,9.28870625,8.83659195652174,0.00125440586311273,"Up in R"
"IO+chemo","UGT8",0.00057290854504364,7.42351935483871,6.40583157894737,0.00133006908447317,"Up in R"
"chemo+targeted","GRB7",0.000588735912907527,10.1929263392857,9.53028293478261,0.00135997995881639,"Up in R"
"IO+chemo","SOX10",0.000599009365615659,7.55704193548387,6.23047105263158,0.00137131901386507,"Up in R"
"chemo+targeted","UGT8",0.000599581040694249,6.79443883928571,6.51087434782609,0.00137131901386507,"Up in R"
"IO+chemo","LDHB",0.00063789832145621,14.355435483871,13.3096631578947,0.00144465208094495,"Up in R"
"IO+chemo","TSPAN1",0.00063789832145621,8.30182580645161,9.75817631578947,0.00144465208094495,"Up in NR"
"IO+chemo","STMND1",0.000683793153461741,6.25787741935484,7.91906052631579,0.00154103627755768,"Up in NR"
"IO+chemo","PHGDH",0.000714878184488999,11.9303870967742,10.4755552631579,0.00160327049142678,"Up in R"
"IO+chemo","NAT2",0.000735643090312295,5.90864516129032,7.01215,0.00163397647944366,"Up in NR"
"IO+chemo","BCAS1",0.000735643090312295,6.20850322580645,7.6293,0.00163397647944366,"Up in NR"
"IO+chemo","NAT1",0.000746935397848492,8.65475806451613,10.3423631578947,0.00165112035313877,"Up in NR"
"IO+chemo","HIST1H1A",0.000771151806360024,8.29917096774193,6.92601578947368,0.00169653397399205,"Up in R"
"IO+chemo","RET",0.000808220936425516,6.29811612903226,7.46012105263158,0.00175304259450042,"Up in NR"
"IO+chemo","COX6C",0.000808220936425516,14.2776032258065,15.4863289473684,0.00175304259450042,"Up in NR"
"IO+chemo","GSTA5",0.000808220936425516,7.52190322580645,5.84362894736842,0.00175304259450042,"Up in R"
"IO+chemo","PDCD1",0.000815002467046186,9.0151,8.21755263157895,0.00175949130736139,"Up in R"
"IO+chemo","RGMA",0.000846911553373621,8.50476451612903,7.37352105263158,0.00181987505887727,"Up in R"
"IO+chemo","CCL17",0.00088728677976858,8.09422903225807,7.08091578947368,0.00188906217628149,"Up in R"
"IO+chemo","KCNK5",0.00088728677976858,10.036764516129,8.73872105263158,0.00188906217628149,"Up in R"
"IO+chemo","FAM26F",0.000908401119561739,11.5899322580645,10.5665552631579,0.00192514365705286,"Up in R"
"IO+chemo","KRT23",0.000973354125566437,10.2085032258065,8.08465789473684,0.00205337719640043,"Up in R"
"IO+chemo","CXCL1",0.00106697103352767,8.24934838709677,7.23837368421053,0.00223050053162799,"Up in R"
"IO+chemo","CCL5",0.00106697103352767,10.4428903225806,9.4171,0.00223050053162799,"Up in R"
"IO+chemo","SLC6A14",0.00111679173492099,7.14266129032258,5.79887368421053,0.00230338295327454,"Up in R"
"IO+chemo","ANXA8L1",0.00111679173492099,8.43652903225806,7.27657105263158,0.00230338295327454,"Up in R"
"IO+chemo","FLRT3",0.00111679173492099,6.15855483870968,7.45990789473684,0.00230338295327454,"Up in NR"
"IO+chemo","MARCO",0.00116872192853032,10.4165516129032,8.50205263157895,0.00238915721673012,"Up in R"
"IO+chemo","IFNG",0.00116872192853032,6.72941290322581,5.90557631578947,0.00238915721673012,"Up in R"
"IO+chemo","SLC9A3R1",0.00117418257451578,10.9404451612903,11.9706526315789,0.00238974603271494,"Up in NR"
"IO+chemo","FOXC1",0.00122284065541714,10.1209322580645,8.73245263157895,0.0024563147078379,"Up in R"
"IO+chemo","MSMB",0.00122284065541714,6.16488387096774,8.2714552631579,0.0024563147078379,"Up in NR"
"IO+chemo","PDZK1",0.00122284065541714,6.22099032258065,8.08398947368421,0.0024563147078379,"Up in NR"
"chemo+targeted","NQO1",0.00126873403526198,7.18104553571429,7.44106032608696,0.00251065524548215,"Up in NR"
"chemo+targeted","SLC6A14",0.00127239122658081,6.94267232142857,6.57968684782609,0.00251065524548215,"Up in R"
"IO+chemo","GSTP1",0.00127922946571677,15.5919870967742,14.5513921052632,0.00251065524548215,"Up in R"
"IO+chemo","PPP1R14C",0.00127922946571677,8.27731290322581,6.67448421052632,0.00251065524548215,"Up in R"
"IO+chemo","CD274",0.00127922946571677,6.91864193548387,6.39362894736842,0.00251065524548215,"Up in R"
"chemo+targeted","AR",0.0012824992163069,8.75298348214286,9.28898467391304,0.00251065524548215,"Up in NR"
"IO+chemo","ADRA2C",0.0013324937931394,7.90134193548387,9.19465526315789,0.00259724069524372,"Up in NR"
"IO+chemo","ARL9",0.00133797247936798,9.09183548387097,7.77337631578947,0.00259724069524372,"Up in R"
"IO+chemo","IGFBP5",0.00139915644847252,9.64036774193548,11.0604394736842,0.00270464551964144,"Up in NR"
"IO+chemo","IGDCC3",0.00141883001429216,6.14475161290323,7.25706052631579,0.00273124777751241,"Up in NR"
"IO+chemo","SLC39A6",0.00146287081955533,8.31761612903226,9.81435789473684,0.00276986196161705,"Up in NR"
"IO+chemo","WNT6",0.00146287081955533,9.85636451612903,8.72033421052632,0.00276986196161705,"Up in R"
"IO+chemo","CDH3",0.00146287081955533,10.4850483870968,9.13992105263158,0.00276986196161705,"Up in R"
