logFC	AveExpr	t	P.Value	adj.P.Val	B	Gene
0.543569485199491	11.6854816513761	10.540151703746	1.09735901625523e-24	1.92553586582306e-20	45.0606999699991	TXNDC5
-0.974714335927265	9.00735646639511	-9.66656622104359	3.51183902287222e-21	3.08111196671694e-17	37.2239227655094	RERG
0.898780752718867	8.02061960285132	9.44659414959454	2.45498683053981e-20	1.43592179718274e-16	35.3373924960357	CD38
0.956926693082016	10.926207586558	9.21079800575605	1.89550900614529e-19	7.23687831042849e-16	33.355298272879	GBP5
-0.580518928630916	7.98473533604888	-9.18738972491424	2.31657775095252e-19	7.23687831042849e-16	33.1608164884394	ACADSB
-0.788542797172833	7.05087596741344	-9.17968041134507	2.47456943423782e-19	7.23687831042849e-16	33.0968564988835	ESR1
0.913414688846043	9.64862810590631	9.03658538807922	8.35107981012643e-19	2.09337710611841e-15	31.9178775010483	GZMB
0.795677088836522	9.2931950610998	9.00754783490131	1.06684710206011e-18	2.33999576248108e-15	31.6805395130474	SLAMF7
0.65401595392779	8.65437372708758	8.97790871819871	1.36890688841873e-18	2.66891213012038e-15	31.4389504001286	IL21R
-0.754671123723844	7.21331420570265	-8.90225702648095	2.57865134209682e-18	4.52475950997729e-15	30.8253684390199	THSD4
-1.16295636943431	8.095783299389	-8.84552454979723	4.13399248366775e-18	6.59446964644708e-15	30.3681236103049	SCUBE2
0.38556728231122	7.88614852342159	8.74188126203814	9.72811896983742e-18	1.31969909284278e-14	29.5392179650677	CHST11
0.571195709526181	10.2859286659878	8.74126849602301	9.77722015555716e-18	1.31969909284278e-14	29.5343420236667	WARS
-0.70969399419337	8.62889282077393	-8.72211090614119	1.1442232007904e-17	1.43412032173352e-14	29.3820471502951	CCND1
0.994755456319448	8.21596695519348	8.60799143794383	2.90235131443592e-17	3.37297441344919e-14	28.480767583699	SOX11
-0.443165116013417	6.42595977596741	-8.60084115566495	3.07560213228398e-17	3.37297441344919e-14	28.4246354102874	ZSWIM5
-0.872963544180279	8.86711705702648	-8.56853349594551	3.99471378329932e-17	4.12324957385607e-14	28.1715081702792	CCDC74B
0.593773419480729	9.63959012219959	8.50857757678638	6.47548701368036e-17	6.31252059050274e-14	27.7039286719734	SLAMF8
0.661332842150345	7.4408083503055	8.45897230761663	9.63627666937546e-17	8.89935509039638e-14	27.3192073092967	ZBED2
0.66573543038004	9.1134700610998	8.44526443348368	1.07514316875708e-16	9.43276859109025e-14	27.2132356395991	GBP1
0.576429822231734	8.95331955193483	8.39633287071547	1.58744106156837e-16	1.32642039558763e-13	26.8361693729416	CYTIP
-0.706000417410335	8.47116690427699	-8.33318024186698	2.617525710222e-16	2.08771471078479e-13	26.3523153895711	FAM134B
-0.614640989743215	7.97361288187373	-8.31740932767709	2.96424901929189e-16	2.26146424093542e-13	26.2319773912753	PCP2
0.669081405249747	7.7966383401222	8.28259671824837	3.89817337431718e-16	2.85005200829765e-13	25.9670434789398	AIM2
0.929308425787096	8.80984949083503	8.26428769589388	4.50038881691091e-16	3.15873290281343e-13	25.8280933107522	POU2AF1
1.08395788042004	12.0818958677686	8.24053512594197	5.50679640008712e-16	3.71645217047418e-13	25.6304352346257	CXCL9
-0.84494052093	9.12482245417515	-8.21432857069124	6.65113248120661e-16	4.32249709806416e-13	25.4503038167983	SLC39A6
1.01788665976534	9.79683976578411	8.09638690574072	1.65935026888272e-15	1.03987925600304e-12	24.5663444553349	IDO1
0.803621276980547	10.790099796334	8.0789130731164	1.89823093182424e-15	1.14856062623172e-12	24.4363284234585	IGLL1
-0.376623954213366	6.77942963340122	-8.05803256228715	2.22847355651917e-15	1.27775183396539e-12	24.2812864206208	NUDT12
-0.412649442183666	9.18215717922607	-8.05635258527087	2.25738341898484e-15	1.27775183396539e-12	24.2688274921709	C3orf18
-0.588727801337418	8.92381863543788	-8.03768116013305	2.60467585954163e-15	1.42825772835553e-12	24.1305106636218	LRRC56
-0.756292000666324	7.15008879837067	-8.0269875286223	2.82678409082939e-15	1.50307819520556e-12	24.0514192784474	LONRF2
1.03266805311628	8.94853065173116	8.01841086699734	3.0183325846842e-15	1.53419906252922e-12	23.9880518325978	CXCL13
0.661041568739432	9.14705539714868	8.01395565311373	3.12282878417019e-15	1.53419906252922e-12	23.9551585143136	CD27
0.596283419718705	10.7443925661914	8.01292055111642	3.14761305357338e-15	1.53419906252922e-12	23.9475185367327	CCL4
0.457416492468045	8.51385269857434	8.00339987575787	3.38486446986522e-15	1.6052491041277e-12	23.8772879632967	P2RY6
1.38507853597009	11.737999185336	7.97310663576525	4.26331945320276e-15	1.94429357664359e-12	23.6543122820622	S100A8
0.669786233073931	10.838966904277	7.97027722090776	4.35602910530604e-15	1.94429357664359e-12	23.6335239953282	FAM26F
0.450311705575777	7.92880702647658	7.96799675504781	4.43219599166487e-15	1.94429357664359e-12	23.6167736557261	DAPP1
1.14345260888663	10.3934849643221	7.95974784339539	4.72346427084188e-15	2.0215275014747e-12	23.5550986112451	CCL18
0.785197498155674	9.40109180244399	7.94959131658158	5.0969600707422e-15	2.1294371038408e-12	23.4817369988477	CXCL10
0.643391105399673	7.30304786150713	7.93619452619593	5.64173066380328e-15	2.30221971994782e-12	23.3836199530318	PNOC
-0.320907872254345	6.97563248472505	-7.91900176088297	6.42564597327454e-15	2.56251840666019e-12	23.2579142933831	ADCY9
-0.415738981461645	6.04929154786151	-7.90049166546785	7.38982407243985e-15	2.88153873331338e-12	23.1228445432329	NXNL2
