pathway	pval	padj	log2err	ES	NES	size	leadingEdge	adjPvalue
HALLMARK_MTORC1_SIGNALING	4.76743977690456e-14	1.19185994422614e-12	0.965327754226083	0.571661484186605	2.43294738163047	194	PSAT1;FADS2;PDK1;DDIT4;EGLN3;TRIB3;PHGDH;IFI30;P4HA1;TMEM97;DHCR7;TUBA4A;PSPH;MTHFD2;PNP;TFRC;DHCR24;SDF2L1;GPI;GSR;PGK1;BUB1;AURKA;PSMB5;PIK3R3;SHMT2;ME1;IDH1;LDHA;NAMPT;RRM2;CXCR4;DAPP1;ASNS;ACTR3;SQLE;GAPDH;BCAT1;CTSC;PLOD2;VLDLR;CALR;UFM1;ENO1;AK4;MAP2K3;SLC1A5;SRD5A1;MCM4;TES;SLC2A3;HK2;GMPS;PSMG1;UNG;LDLR;SSR1;ITGB2;GLRX;HMGCS1;HSP90B1;NFIL3;GBE1;PRDX1;PFKL;EBP;PITPNB;PPA1;FKBP2;TXNRD1;HSPD1;ARPC5L;CDC25A;TPI1;RDH11;XBP1;NUPR1;IDI1;PSMA3;HMBS;BTG2;TM7SF2	significant
HALLMARK_INTERFERON_GAMMA_RESPONSE	1.56362225413678e-12	1.56362225413678e-11	0.910119734774459	0.552007220842177	2.3493003459906	194	CCL7;CD38;SLAMF7;IRF5;PFKP;IRF4;PDE4B;CXCL9;TNFSF10;IFI30;MT2A;SOD2;ZBP1;ITGB7;STAT1;IDO1;MTHFD2;PNP;APOL6;CXCL10;CXCL11;ISG20;GBP4;HIF1A;UPP1;CASP7;CCL2;BATF2;ICAM1;NAMPT;IL2RB;LAP3;GCH1;HLA-B;CCL5;RSAD2;MX1;CASP8;CASP3;BANK1;CD274;TAP1;IFNAR2;HLA-DRB1;HLA-G;OASL;USP18;GZMA;IL6;B2M;SP110;PSME2;XCL1;CIITA;CD69;PSMB9;ISG15;BST2;IFIT2;FPR1;IL15RA;IL10RA;TRIM14;SAMD9L;IFIT3;NMI;NFKBIA;PNPT1;NCOA3;IRF8;IRF7;PSMA3;ST8SIA4;IRF2;VAMP5;PARP12;GBP6;PSMB10;PARP14	significant
HALLMARK_INFLAMMATORY_RESPONSE	3.7981094462504e-13	6.07411316036927e-12	0.932595211336209	0.548466614356311	2.33293512409439	197	MARCO;CCL7;AQP9;ADM;PDE4B;CXCL9;TNFSF10;RNF144B;P2RY2;OLR1;ICAM4;EDN1;TLR2;SLC31A1;CCL20;CXCL10;CXCL11;HIF1A;CCL17;RGS1;OSM;KCNA3;CXCR6;CCL2;ICAM1;SLAMF1;IL18;NAMPT;PLAUR;SLC7A1;IL1R1;IL2RB;GCH1;CCL5;CXCL6;MSR1;IRAK2;CCR7;CCRL2;CYBB;FFAR2;IL6;CD55;SGMS2;LDLR;RGS16;PTGER4;CD69;P2RX7;IL18RAP;SLC31A2;PCDH7;CLEC5A;ATP2B1;PDPN;BST2;CD14;FPR1;C5AR1;IL15RA;IL10RA;CCL24;INHBA;EREG;CD70;LAMP3;NMI;IL1B;HBEGF;ROS1;ADORA2B;GPC3;NFKBIA;CD82;C3AR1;IL10;IRF7;TNFSF15;BTG2;SERPINE1;GPR183;TNFRSF9;OPRK1	significant
HALLMARK_G2M_CHECKPOINT	9.09850616749739e-12	7.5820884729145e-11	0.875325132024659	0.536423871638808	2.26688722831617	188	CDC45;CDC20;MT2A;CDK1;HMGB3;KIF2C;UBE2C;CENPA;HMMR;HIF1A;BRCA2;E2F1;CCNB2;CENPF;BUB1;CDKN3;AURKA;RAD54L;TTK;EXO1;FBXO5;NASP;SLC7A1;BIRC5;MYBL2;SQLE;KIF23;NUSAP1;NDC80;NEK2;KIF11;KIF4A;CKS1B;RPS6KA5;RACGAP1;EGF;POLQ;TRAIP;KIF15;SMC4;EZH2;KPNA2;KIF5B;PTTG1;STIL;TRA2B;CENPE;CHEK1;MKI67;EFNA5;UCK2;SLC38A1;ODF2;RAD23B;CKS2;TOP2A;CCNA2;PRC1;BARD1;AURKB;BCL3;NOLC1;E2F2;CDC25A;MCM5;TPX2;LMNB1;E2F3;INCENP;DBF4;MAD2L1;TROAP;KIF20B;ORC6;DTYMK;UPF1;NCL;PLK1;HUS1;SAP30;STMN1;LBR;HMGA1;SMARCC1;NUP50	significant
HALLMARK_ALLOGRAFT_REJECTION	1.99810455904695e-10	1.42721754217639e-09	0.826657301178302	0.513849990374282	2.18561615116504	195	CCL7;GZMB;CCL4;IRF4;DEGS1;CD79A;CXCL9;CXCL13;IFNG;FCGR2B;CCR1;STAT1;TLR2;HLA-E;CTSS;HIF1A;CCR2;CCL13;IL12A;TGFB2;SRGN;CD2;CCL2;FASLG;IL13;ICAM1;IL18;FGR;IL2RB;BCAT1;CCL5;NCF4;TAP1;IFNAR2;HLA-G;CCR5;INHBB;IL2RA;CD80;GBP2;KLRD1;GZMA;IL6;B2M;ITGB2;HLA-DOB;CD3D;CD3G;CCL11;IL18RAP;TRAT1;EIF3A;IGSF6;MBL2;INHBA;EREG;CAPG;HLA-DRA;BCL3;IL1B;EIF3D;GALNT1;IL2RG;MRPL3;IL2;HLA-DMB;IL10;BCL10;RPS19;IRF8;TLR6;IRF7;CXCR3;ST8SIA4;PTPRC;PSMB10;IFNGR1;HLA-A;NOS2;CD96;ABCE1;HDAC9;IL7;ICOSLG;CD247;PRF1;RIPK2;HLA-DMA;ABI1;ELANE;CD7;TLR1;C2;RPL9	significant
HALLMARK_E2F_TARGETS	1.04503713292563e-09	6.53148208078517e-09	0.788186810800237	0.502830554339136	2.13874594035196	195	SPAG5;CCNE1;E2F8;CDC20;CDK1;MELK;HMGB3;KIF2C;MTHFD2;DLGAP5;TFRC;HMMR;TRIP13;BRCA2;CCNB2;CDKN3;AURKA;UBE2T;TK1;RRM2;CDCA8;NASP;BIRC5;PRDX4;MYBL2;ATAD2;RAD51AP1;MCM4;CTPS1;KIF4A;CKS1B;NCAPD2;GINS1;RANBP1;PAICS;RACGAP1;CHEK2;DEPDC1;UNG;SMC4;PRPS1;EZH2;KPNA2;PTTG1;TRA2B;CENPE;CHEK1;MKI67;DIAPH3;EIF2S1;CKS2;TOP2A;BARD1;AURKB;NOLC1;CDC25A;MCM5;LMNB1;BUB1B;MAD2L1;CDCA3;RFC3;ORC6;PPM1D;SPC25;MXD3;RAD1;PLK1;HUS1;STMN1;XRCC6;LBR;SPC24;EXOSC8;HMGA1;ASF1A;ORC2;CENPM;DEK;MLH1;TIMELESS	significant
HALLMARK_TNFA_SIGNALING_VIA_NFKB	8.37407678475421e-08	4.65226488041901e-07	0.704975715167238	0.46791281118656	1.99029476664136	197	PHLDA2;CCL4;PDE4B;CXCL1;DUSP4;SOD2;KYNU;OLR1;B4GALT5;CEBPB;EDN1;TLR2;CCL20;CXCL10;CXCL11;SGK1;PLAU;DUSP5;CCL2;ICAM1;IL18;NAMPT;PLAUR;BCL2A1;GCH1;CCL5;VEGFA;CXCL6;MAP2K3;TAP1;CD80;SLC2A3;CCRL2;IL6;ZFP36;PANX1;LDLR;NR4A2;FOS;TNFAIP8;TRIB1;PTGER4;CSF2;CD69;NFIL3;F2RL1;CXCL2;ATP2B1;SLC2A6;IFIT2;EGR1;CFLAR;CXCL3;IL15RA;FUT4;ID2;INHBA;PFKFB3;IER2;LITAF;BCL3;IL1B;HBEGF;HES1;RCAN1;NFKBIA;SAT1;DUSP2;KLF9;BTG2;SERPINE1;MCL1;GPR183;SERPINB8;TNFRSF9	significant
HALLMARK_INTERFERON_ALPHA_RESPONSE	2.57514871203805e-05	9.90441812322328e-05	0.575610261071129	0.509458851975437	1.95070360654006	94	IFI30;CXCL10;CXCL11;ISG20;GBP4;BATF2;HLA-C;LAP3;RSAD2;MX1;CASP8;TAP1;OASL;GBP2;CCRL2;USP18;B2M;SP110;PSME2;PSMB9;ISG15;BST2;IFIT2;TRIM14;SAMD9L;LAMP3;IFIT3;NMI;PNPT1;NCOA7;IRF7;PSMA3;IRF2;PARP12;PARP14;IFIH1;PLSCR1;IL7;RIPK2;TRIM5	significant
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.00030613040883361	0.000956657527605031	0.49849310876659	0.496632818816181	1.88254102627129	87	CCL7;CD38;CXCL9;CXCL1;CXCL13;CCR1;STAT1;TNFRSF21;TLR2;CXCL10;CXCL11;TNFRSF12A;HMOX1;IL1R1;IL2RA;IL6;IL13RA1;CSF2;CD14;CXCL3;IL15RA;IL1B;IL2RG	significant
HALLMARK_GLYCOLYSIS	1.99058109565355e-06	9.04809588933433e-06	0.627256739718528	0.441800325901302	1.87922376887266	197	ANGPTL4;GPC4;PFKP;DDIT4;B3GNT3;EGLN3;P4HA1;CDK1;SLC16A3;SRD5A3;SDC1;GNE;SPAG4;CENPA;HMMR;ISG20;PGK1;AURKA;GALE;AKR1A1;ME1;IDH1;LDHA;CXCR4;MIF;CITED2;NASP;MED24;PLOD2;VLDLR;VEGFA;ENO1;AK4;PKP2;HK2;BPNT1;IL13RA1;PYGB;DEPDC1;KDELR3;CHST1;GLRX;PRPS1;PGLS;TXN;COPB2;KIF20A;FBP2;SLC25A13;NDST3;HDLBP;LDHC;LHPP;CHST12;ADORA2B;GPC3;TPI1;GMPPA;HS6ST2;AGRN;GMPPB;CLDN9;CHPF;CHST2;LHX9;PDK3;CASP6;SAP30;G6PD;STMN1	significant
