pathway	pval	padj	log2err	ES	NES	size	leadingEdge	adjPvalue
KEGG_MEDICUS_REFERENCE_IL2_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY	1.75298371707897e-06	0.0004237579306929	0.643551836150722	0.804314525792445	2.3119086955834	23	IL21R;STAT1;IL2RB;IL7R;IL15;IL2RG;IL2RA;STAT5A;IL15RA;STAT3;IL21;JAK3;IL7	significant
KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION	3.55864836913033e-06	0.000513716501007514	0.627256739718528	0.735755465684817	2.23907304880838	30	MCM10;MCM2;MCM4;GINS4;RFC2;MCM5;MCM3;CDC45;RFC4;MCM6;RPA2;RFC5;MCM7;PCNA;PRIM2;GINS3;POLE3;POLA2;WDHD1;RPA1;GINS1;RFC3	significant
KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES	1.67932121944441e-06	0.0004237579306929	0.643551836150722	0.891851349271166	2.23833027824907	13	HLA-DOB;HLA-DQA1;CD74;HLA-DPB1;HLA-DPA1;HLA-DMA;HLA-DRB5;HLA-DRB1;HLA-DQA2;HLA-DQB1;HLA-DRA	significant
KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING	8.09933050159885e-06	0.000835580930081615	0.593325476396405	0.759808451308977	2.21671200681669	24	CCNE1;MCM2;CCNA2;MCM4;MCM5;MCM3;CDT1;ORC6;CDC45;CDC7;MCM6;TICRR;MCM7;ORC1;CCNA1;MTBP;ORC3;DBF4	significant
KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY	4.14956785951142e-06	0.000513716501007514	0.610526878385931	0.651142335630292	2.14219019119395	44	IL12RB2;STAT1;IFNG;IL2RB;IL7R;IL15;PIM1;IL2RG;IL2RA;STAT5A;IFNAR2;IL15RA;JAK2;IL23A;STAT3;IL13;IL3RA;STAT4;IL6;JAK3;IFNGR1;IL7;IL12A	significant
KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION	2.03414799237333e-05	0.0017987680103987	0.575610261071129	0.714534384015127	2.13645869309449	27	MCM2;MCM4;GINS4;MCM5;MCM3;CDT1;ORC6;CDC45;MCM6;TICRR;MCM7;ORC1;GINS3;POLE3;MTBP;ORC3;GINS1;TOPBP1	significant
KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION	6.30685311117603e-05	0.00433771341757551	0.538434096309916	0.782701174265542	2.12977203908228	18	MCM2;MCM4;GINS4;MCM5;MCM3;CDC45;PIF1;MCM6;VCP;MCM7;GINS3	significant
KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY	2.73248138814989e-05	0.00211425747408097	0.575610261071129	0.81922093933118	2.12279108612944	15	MCM2;MCM4;GINS4;MCM5;MCM3;CDC45;MCM6;VCP;MCM7;GINS3;TRAIP	significant
KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	8.39578770928006e-05	0.00486112636311294	0.538434096309916	0.854558209526966	2.11099429815614	12	TAP1;HLA-F;HLA-E;HLA-C;HLA-A;B2M;HLA-G;TAPBP;TAP2;HLA-B	significant
KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_NFY_MEDIATED_TRANSCRIPTION	8.63851211538648e-05	0.00486112636311294	0.538434096309916	0.836396309906166	2.09915159808716	13	HLA-DOB;HLA-DQA1;HLA-DPB1;HLA-DPA1;HLA-DMA;HLA-DRB5;HLA-DRB1;HLA-DQA2;HLA-DQB1;HLA-DRA	significant
KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNA12_13_RHO_SIGNALING_PATHWAY	0.000690979106851991	0.0267322541963364	0.477270815362862	0.790383229219466	1.98366994099181	13	CCL5;CX3CL1;CCL2;CCL4;CCL3	significant
