pathway	pval	padj	log2err	ES	NES	size	leadingEdge	adjPvalue
KEGG_MEDICUS_REFERENCE_RECRUITMENT_AND_FORMATION_OF_THE_MCC	0.00659332017607798	0.140733282379044	0.407017918923954	0.772475118862738	1.76114504965476	9	CDC20;BUB1;TTK;NDC80;AURKB;BUB1B;MAD2L1	non-significant
KEGG_MEDICUS_PATHOGEN_HPV_E5_TO_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	0.00854925309107028	0.160363262526439	0.380730400722792	0.8112162561572	1.73864748522297	7	HLA-E;HLA-C;HLA-B;HLA-G;HLA-F;HLA-A	non-significant
KEGG_MEDICUS_REFERENCE_TESTOSTERONE_BIOSYNTHESIS	0.00462184873729478	0.125189257641773	0.407017918923954	0.744236375291434	1.73750955765061	10	HSD17B2;SRD5A3;HSD17B6;HSD3B1;SRD5A1;HSD3B2	non-significant
KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION	0.00167156212689863	0.113795280016397	0.45505986738723	0.459569419528886	1.73219619894815	81	RPL23A;RPL23;RPL18A;RPS5;RPS8;RPSA;RPL36A;RPL7A;RPL38;RPLP2;RPL30;RPS12;RPS19;RPS13;RPLP1;RPL36;RPL19;RPL10A;RPL31;RPL24;RPS6;RPS20;RPS10;RPS4Y2;RPL37A;RPS17;RPS27;RPL9;RPL12;RPS16;RPL35A;RPL35;RPS4X;RPL3;RPL41;RPS3;RPL39;RPL21;RPS28;RPS7;RPL10;RPS27A;RPS4Y1;RPL6;RPL29;RPL14;RPS24;RPL37;RPL32;RPS11;RPL5;RPS25;RPS18;RPL18	non-significant
KEGG_MEDICUS_VARIANT_ERBB2_OVEREXPRESSION_TO_PI3K_SIGNALING_PATHWAY	0.0135245998609197	0.208907541375792	0.380730400722792	0.695568837706592	1.72503995878956	12	ERBB2;RPS6KB2;EGF;RPS6KB1	non-significant
KEGG_MEDICUS_REFERENCE_INACTIVATION_OF_CONDENSIN_I	0.00700656299738829	0.144568749846112	0.407017918923954	0.831748057046279	1.69266822295758	6	NCAPD2;NCAPG;SMC4;NCAPH	non-significant
KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION	0.0209829501060724	0.246441346023013	0.352487857583619	0.603348139733494	1.68152887412392	18	CDC45;PIF1;VCP;MCM4;GINS1;RBX1;MCM5	non-significant
KEGG_MEDICUS_PATHOGEN_KSHV_MIR1_2_TO_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	0.00816357993936701	0.157914249452131	0.380730400722792	0.826178667122741	1.68133410649651	6	HLA-E;HLA-C;HLA-B;HLA-G;HLA-F;HLA-A	non-significant
KEGG_MEDICUS_REFERENCE_MICROTUBULE_DEPOLYMERIZATION	0.0141746635505384	0.208907541375792	0.380730400722792	0.576237728796734	1.68093002068727	22	TUBA4A;KIF2C;AURKA;TUBB4B;TUBB1;TUBB3;TUBA1B;TUBA1C;AURKB	non-significant
KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING	0.0169213008016314	0.232761893249108	0.352487857583619	0.565170111358602	1.67806197369313	24	CCNE1;CDC45;CCNE2;MCM4;CDT1;CCNA2;MCM5;DBF4;ORC6	non-significant
KEGG_MEDICUS_REFERENCE_IL2_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY	0.0236659852343213	0.248292285763472	0.352487857583619	0.56929938965674	1.66958756823875	23	IL21R;STAT1;IL2RB;IL2RA;IL21;IL15RA;IL2RG;IL2;IL7R;IL7;IL4R;IL9;CRLF2;TSLP;IL4	non-significant
KEGG_MEDICUS_VARIANT_AMPLIFIED_CCNE_TO_CELL_CYCLE_G1_S	0.00944915831957654	0.167115114280511	0.380730400722792	0.819339566192197	1.66741603512783	6	CCNE1;E2F1;E2F2;E2F3	non-significant
