pathway	pval	padj	log2err	ES	NES	size	leadingEdge	adjPvalue
HALLMARK_IL2_STAT5_SIGNALING	1.46637508021599e-05	5.63990415467688e-05	0.593325476396405	0.413156393542428	1.76268441686408	194	CXCL10;S100A1;CCNE1;GLIPR2;CD79B;IRF4;LTB;GBP4;ICOS;TNFRSF21;SELL;IL2RB;SOCS1;IL1R2;NOP2;NFIL3;ODC1;BATF3;TNFRSF8;UCK2;PIM1;CD48;CTLA4;TRAF1;IL10RA;PNP;IL2RA;TNFRSF4;NDRG1;RRAGD;CD83;IRF6;IRF8;TNFRSF9;EOMES;GALM;SLC1A5;DCPS;ITGA6;TTC39B;COCH;TNFRSF1B;TGM2;CST7;CCND2;IL13;CD44;PDCD2L;CDC42SE2;ETV4;RABGAP1L;CAPG;PUS1;IL3RA;ADAM19;LRRC8C;IFNGR1;FLT3LG;PLSCR1;MYC;PRNP	significant
HALLMARK_MTORC1_SIGNALING	2.52345397167597e-05	8.41151323891991e-05	0.575610261071129	0.406793552340697	1.73553808388081	194	PHGDH;PSAT1;DAPP1;CORO1A;FADS2;MCM2;IFRD1;NFIL3;PDK1;DDIT4;MCM4;CFP;BUB1;IFI30;ASNS;MAP2K3;STARD4;GLRX;CDC25A;SLA;NUP205;CTSC;TES;PNP;CXCR4;SSR1;ENO1;PLK1;RPN1;PSMC4;SLC7A5;NFKBIB;SLC1A5;UCHL5;GAPDH;PGM1;ACTR3;PITPNB;M6PR;DHCR7;TPI1;VLDLR;EEF1E1;MTHFD2;PSMG1;ABCF2;LGMN;ARPC5L;PSMC2;HMBS;AURKA;SRD5A1;PNO1;TUBA4A;POLR3G;UNG;CALR;GMPS;HMGCS1;SDF2L1;NFYC;YKT6;HSP90B1;CCT6A;SKAP2;MLLT11;FGL2;RPA1;SHMT2;FADS1;HPRT1;GOT1;PPA1;PSME3;EGLN3;ITGB2;ACLY;GSK3B;PSMA4;SLC2A1	significant
HALLMARK_MYC_TARGETS_V2	0.00471932979359456	0.0110176355913959	0.407017918923954	0.485856880569737	1.70344063883577	57	NOP2;MCM4;DUSP2;MCM5;BYSL;PLK1;SRM;RCL1;MYBBP1A;MPHOSPH10;PUS1;PPRC1;MYC;GRWD1;WDR74;UNG;TFB2M;MRTO4;PLK4;PPAN;DDX18;EXOSC5;NOP56;SUPV3L1;MAP3K6;NDUFAF4;UTP20;NOP16;CDK4;PES1;RRP9;HSPD1;LAS1L;NOC4L;NOLC1;TCOF1	significant
HALLMARK_MITOTIC_SPINDLE	0.000457104610561313	0.00134442532518033	0.49849310876659	0.381596136051248	1.63043338435936	197	KIF2C;NDC80;TTK;BUB1;ANLN;GEMIN4;FSCN1;CENPF;TPX2;CEP72;MID1;NCK1;CENPE;KIF1B;PLK1;NCK2;KIF4A;KIF11;PIF1;ARHGEF2;CDK1;KIF15;CEP192;NEK2;INCENP;DLGAP5;EPB41L2;TOP2A;SUN2;ARHGAP27;CCNB2;CDC42EP1;ECT2;ACTN4;NET1;DOCK2;BIN1;LMNB1;CEP57;RALBP1;BIRC5;ARHGEF3;PAFAH1B1;AURKA;KNTC1;RASAL2;TUBD1;KATNA1;TUBA4A;CDC42EP4;GSN;SORBS2;KIF23;NOTCH2;CENPJ;SMC3;HOOK3;CSNK1D;KIF20B;CKAP5;RHOF;CNTROB;ABI1;SMC4;PLEKHG2;SAC3D1;FLNA;PRC1;DLG1;RASA2	significant
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.00426497393152701	0.0106624348288175	0.407017918923954	0.387469162808255	1.52321582337174	106	PSAT1;CCL2;CKS1B;DDIT4;CEBPG;GEMIN4;CEBPB;ASNS;VEGFA;PDIA5;SSR1;SLC7A5;NABP1;HYOU1;TUBB2A;SPCS3;KDELR3;MTHFD2;CXXC1;HERPUD1;SRPRB;EIF4G1;TATDN2;NFYA;PDIA6;CALR;ATF4;EIF4A1;HSP90B1;POP4;DKC1;PREB;ALDH18A1;EXOSC5;FUS;EXOSC10;NOP56;DNAJB9	significant
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.00944676923943581	0.0181668639219919	0.380730400722792	0.371210144635227	1.45715949544491	104	LCK;DAPP1;FASLG;PDK1;PRKCB;IL2RG;PFN1;MAP2K3;NCK1;SLA;MYD88;CXCR4;CDK1;MAPK1;NFKBIB;MAP2K6;E2F1;ACTR3;RAF1;CSNK2B;NGF;ARF1;NOD1;MKNK1;RPS6KA3;MAP3K7;SFN;CALR;HSP90B1;GNGT1	significant
HALLMARK_KRAS_SIGNALING_UP	0.00484775966021421	0.0110176355913959	0.407017918923954	0.338027736764	1.43653283681356	191	CXCL10;KCNN4;ADAMDEC1;HSD11B1;MPZL2;LCP1;GPRC5B;MMP9;SLPI;SOX9;IL7R;BIRC3;TMEM176B;TMEM100;CTSS;TMEM158;IL2RG;CD37;MALL;GLRX;CLEC4A;IKZF1;PSMB8;LAPTM5;TMEM176A;TRAF1;MYCN;IL10RA;ST6GAL1;CXCR4;MAP4K1;IRF8;GALNT3;IL1B;GYPC;TLR8;BTBD3;CMKLR1;CSF2RA;SATB1;ADAM8;PCSK1N;TNFRSF1B;DOCK2;CCND2;PLAUR;PCP4;ADAM17;TNFAIP3;ETV4;RABGAP1L	significant
HALLMARK_KRAS_SIGNALING_DN	0.0088251800816536	0.0176817027971139	0.380730400722792	0.327510878959325	1.39183883708104	191	KRT5;KLK8;KRT15;CALML5;SLC6A14;SOX10;TCL1A;KLK7;TFCP2L1;IFNG;TCF7L1;PDCD1;TGM1;KRT13;LGALS7;CHST2;CD40LG;IFI44L;GPR19;STAG3	significant
HALLMARK_UV_RESPONSE_UP	0.0258557198717383	0.0478809627254413	0.352487857583619	0.317172886701988	1.30887711699765	154	TAP1;IRF1;CCNE1;GAL;CTSV;HLA-F;SOD2;RASGRP1;LYN;CEBPG;CCK;BTG3;ICAM1;ASNS;FEN1;BID;KLHDC3;RFC4;RPN1;E2F5;CHRNA5;COL2A1;GGH;CXCL2;AMD1;BAK1;NPTX2;ALAS1;ARRB2	significant
HALLMARK_P53_PATHWAY	0.0278196361367982	0.049677921672854	0.352487857583619	0.305594532910598	1.29869988030973	191	KLK8;KRT17;CDKN2A;LDHB;TAP1;TM4SF1;SOCS1;SERPINB5;TCN2;DDIT4;CD82;STEAP3;CASP1;IFI30;SPHK1;NDRG1;APP;ST14;BAK1;SEC61A1;IRAK1;DEF6;FAS;TPD52L1;SLC3A2;PERP;HSPA4L;ADA;S100A10;S100A4;RHBDF2;FBXW7;PCNA;UPP1;NOTCH1;CCND2	significant
