pathway	pval	padj	log2err	ES	NES	size	leadingEdge	adjPvalue
KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY	3.88700256782153e-08	8.02018196493842e-06	0.719512826338911	0.729984637553066	2.29794268269003	44	IL2RB;STAT1;IL12RB2;IFNG;IL2RG;PIM1;IL7R;IL2RA;IL15;IL15RA;IL23A;JAK3;IL6;IFNGR1;IL6R;IL3RA;STAT5A;IFNAR2;IL7;JAK2;STAT4;STAT2;IL4R;IFNGR2	significant
KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES	9.03360742035281e-10	5.59180299319839e-07	0.801215574617779	0.942625755674689	2.27401708851642	13	HLA-DRA;HLA-DPA1;HLA-DRB1;HLA-DRB5;HLA-DQA2;CD74;HLA-DMA;HLA-DPB1;HLA-DQA1;HLA-DOB;HLA-DQB1;HLA-DMB;HLA-DOA	significant
KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_NFY_MEDIATED_TRANSCRIPTION	3.77827702097557e-08	8.02018196493842e-06	0.719512826338911	0.917557198235592	2.21354099006719	13	HLA-DRA;HLA-DPA1;HLA-DRB1;HLA-DRB5;HLA-DQA2;HLA-DMA;HLA-DPB1;HLA-DQA1;HLA-DOB;HLA-DQB1;HLA-DMB;HLA-DOA	significant
KEGG_MEDICUS_REFERENCE_IL2_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY	1.86270506923802e-06	0.000230602887571667	0.643551836150722	0.792787212944094	2.18688518059773	23	IL21R;IL2RB;STAT1;IL2RG;IL7R;IL2RA;IL15;IL15RA;JAK3;STAT5A;IL7;IL4R	significant
KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING	1.09959660574992e-05	0.00113441716493201	0.593325476396405	0.767725749504466	2.14006147768429	24	CCNE1;CDC45;CDT1;MCM2;MCM5;MCM6;MCM3;MCM4;CCNA2;CCNE2;TICRR;ORC6;MCM7;CDC7;CDC6;ORC3	significant
KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION	0.000103585762273781	0.00534329890395588	0.538434096309916	0.7776543093911	2.04940530221534	18	CDC45;MCM2;MCM5;MCM6;MCM3;MCM4;PIF1;MCM7;VCP;GINS1;GINS2;LRR1;CUL2;GINS3;GINS4	significant
KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION	4.37302605787934e-05	0.00338362891228414	0.557332238758646	0.695811486950886	2.03411280014607	30	CDC45;MCM10;MCM2;MCM5;MCM6;MCM3;MCM4;RFC4;MCM7;PCNA;WDHD1;PRIM2;RFC2;GINS1;GINS2;POLA2;RFC3;RPA2;RPA1;POLE2;GINS3;GINS4;POLE3	significant
KEGG_MEDICUS_REFERENCE_BREAK_INDUCED_REPLICATION	5.89263182633184e-05	0.00405282122277712	0.557332238758646	0.920197682399219	1.99904526319554	8	MCM2;MCM5;MCM6;MCM3;MCM4;PIF1;MCM7	significant
KEGG_MEDICUS_PATHOGEN_HTLV_1_P12_TO_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	3.80139741596568e-05	0.00336152142926108	0.557332238758646	0.940250855188141	1.97199183892274	7	HLA-F;HLA-E;HLA-A;HLA-C;HLA-B;B2M;HLA-G	significant
KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY	0.000632240746951873	0.0195678511181605	0.477270815362862	0.738571382172285	1.96750759339372	19	CD3D;LCK;CD3G;CD247;PLCG2;ZAP70;LCP2;VAV1;LAT;FYN;ITPR3	significant
